category,revenue,revenue_share,cumulative_share,cluster
health_beauty,1437665.78,0.09136432337214194,0.09136432337214194,A
watches_gifts,1298292.47,0.08250708524250809,0.17387140861465003,A
bed_bath_table,1240386.13,0.07882711062903625,0.25269851924368625,A
sports_leisure,1147244.63,0.07290792534706733,0.3256064445907536,A
computers_accessories,1050941.58,0.06678782210448786,0.39239426669524147,A
furniture_decor,899626.04,0.05717164975058355,0.449565916445825,A
housewares,772035.14,0.049063189210511,0.498629105656336,A
cool_stuff,704086.24,0.04474500527739871,0.5433741109337347,A
auto,678606.64,0.04312576494617735,0.586499875879912,A
garden_tools,579525.2,0.036829093737701143,0.6233289696176132,A
toys,556783.29,0.035383834868605614,0.6587128044862188,A
baby,478320.0,0.030397456601744345,0.6891102610879631,A
perfumery,450580.47000000003,0.028634596676740613,0.7177448577647038,A
telephony,393306.02,0.024994778964197176,0.742739636728901,A
office_furniture,342073.02,0.02173889818547756,0.7644785349143786,A
stationery,276152.18,0.017549598400708924,0.7820281333150875,A
pet_shop,253176.96,0.016089512573510545,0.798117645888598,A
computers,232799.43,0.014794511143869836,0.8129121570324679,B
Unknown,206524.29,0.013124713878744488,0.8260368709112124,B
musical_instruments,206021.32,0.013092749903274135,0.8391296208144865,B
small_appliances,203731.5,0.012947230786206469,0.852076851600693,B
electronics,203416.77,0.012927229549552622,0.8650040811502456,B
fashion_bags_accessories,182934.76,0.011625588367725618,0.8766296695179713,B
consoles_games,174639.6,0.011098427123988107,0.8877280966419594,B
luggage_accessories,170504.09,0.010835613556186051,0.8985637101981454,B
construction_tools_construction,165179.69,0.010497245480566533,0.9090609556787119,B
home_appliances_2,121055.52,0.007693134126947639,0.9167540898056595,B
home_construction,96833.62,0.006153821210778983,0.9229079110164385,B
home_appliances,94771.3,0.006022759823634583,0.9289306708400731,B
furniture_living_room,86557.3,0.005500756335328161,0.9344314271754013,B
agro_industry_and_commerce,78374.07,0.0049807082947128985,0.9394121354701142,B
home_confort,67073.27,0.0042625372427707,0.9436746727128849,B
fixed_telephony,62414.05,0.003966441662932977,0.9476411143758179,B
air_conditioning,61436.57,0.003904322358118056,0.951545436733936,C
kitchen_dining_laundry_garden_furniture,57905.76,0.0036799377542043477,0.9552253744881404,C
audio,56371.26,0.0035824195714911503,0.9588077940596316,C
books_general_interest,54658.69,0.00347358495815186,0.9622813790177834,C
small_appliances_home_oven_and_coffee,50193.57,0.003189824522833285,0.9654712035406168,C
industry_commerce_and_business,47554.29,0.003022097061594257,0.9684933006022111,C
construction_tools_lights,47511.18,0.0030193574012118748,0.9715126580034229,C
construction_tools_safety,43420.59,0.002759398520126974,0.9742720565235499,C
food,36496.78,0.0023193872013576914,0.9765914437249076,C
market_place,33694.53,0.0021413029214567086,0.9787327466463643,C
costruction_tools_garden,30781.89,0.0019562033061437285,0.9806889499525081,C
fashion_shoes,28248.41,0.0017951994836997846,0.9824841494362079,C
art,28196.21,0.0017918821496250834,0.984276031585833,C
drinks,28100.75,0.0017858156225988196,0.9860618472084318,C
signaling_and_security,28017.05,0.0017804964489962815,0.9878423436574281,C
furniture_bedroom,24661.010000000002,0.0015672185591867021,0.9894095622166148,C
books_technical,23379.12,0.0014857538584775321,0.9908953160750923,C
food_drink,19608.1,0.0012461037982786905,0.992141419873371,C
costruction_tools_tools,17934.17,0.0011397247747602134,0.9932811446481312,C
fashion_male_clothing,12893.45,0.0008193846939742445,0.9941005293421055,C
christmas_supplies,12009.19,0.0007631895631524966,0.9948637189052579,C
fashion_underwear_beach,11457.74,0.0007281446613231105,0.995591863566581,C
tablets_printing_image,8754.61,0.0005563595031363879,0.9961482230697174,C
cine_photo,8189.66,0.0005204566700807861,0.9966686797397982,C
music,6724.86,0.00042736795451331003,0.9970960476943115,C
furniture_mattress_and_upholstery,5998.54,0.0003812099835336752,0.9974772576778451,C
dvds_blu_ray,5804.37,0.00036887039048224375,0.9978461280683274,C
books_imported,5409.7,0.0003437889299599774,0.9981899169982874,C
party_supplies,5313.15,0.00033765313293100424,0.9985275701312184,C
portateis_cozinha_e_preparadores_de_alimentos,4228.05,0.0002686945274816131,0.9987962646587,C
fashio_female_clothing,3425.39,0.00021768511429388077,0.9990139497729938,C
fashion_sport,2697.64,0.00017143626615472824,0.9991853860391485,C
la_cuisine,2388.54,0.00015179281859744613,0.999337178857746,C
arts_and_craftmanship,2184.14,0.00013880310432792667,0.9994759819620739,C
diapers_and_hygiene,2101.25,0.0001335354065989616,0.9996095173686729,C
flowers,1598.91,0.0001016114679191651,0.9997111288365921,C
pc_gamer,1430.1,9.088351456379533e-05,0.9998020123511558,C
home_comfort_2,1170.58,7.439089887286732e-05,0.9998764032500287,C
cds_dvds_musicals,954.99,6.069005494250676e-05,0.9999370933049712,C
fashion_childrens_clothes,665.36,4.228393486481146e-05,0.999979377239836,C
security_and_services,324.51,2.0622760164392157e-05,1.0000000000000004,C
