"category","revenue","orders","aov"
"pcs","232799.43","181","1286.18"
"portateis_casa_forno_e_cafe","50193.57","75","669.25"
"eletrodomesticos_2","121055.52","231","524.05"
"agro_industria_e_comercio","78374.07","182","430.63"
"instrumentos_musicais","206021.32","620","332.29"
"eletroportateis","203731.50","622","327.54"
"portateis_cozinha_e_preparadores_de_alimentos","4228.05","13","325.23"
"telefonia_fixa","62414.05","214","291.65"
"moveis_escritorio","342073.02","1272","268.93"
"construcao_ferramentas_seguranca","43420.59","165","263.16"
"moveis_quarto","24661.01","95","259.59"
"climatizacao","61436.57","251","244.77"
"moveis_cozinha_area_de_servico_jantar_e_jardim","57905.76","246","235.39"
"relogios_presentes","1298292.47","5604","231.67"
"construcao_ferramentas_construcao","165179.69","746","221.42"
"moveis_sala","86557.30","420","206.09"
"pc_gamer","1430.10","7","204.30"
"industria_comercio_e_negocios","47554.29","235","202.36"
"sinalizacao_e_seguranca","28017.05","140","200.12"
"casa_construcao","96833.62","489","198.02"
"construcao_ferramentas_iluminacao","47511.18","243","195.52"
"cool_stuff","704086.24","3616","194.71"
"construcao_ferramentas_ferramentas","17934.17","97","184.89"
"la_cuisine","2388.54","13","183.73"
"musica","6724.86","38","176.97"
"automotivo","678606.64","3872","175.26"
"casa_conforto","67073.27","397","168.95"
"bebes","478320.00","2868","166.78"
"consoles_games","174639.60","1054","165.69"
"malas_acessorios","170504.09","1030","165.54"
"ferramentas_jardim","579525.20","3505","165.34"
"beleza_saude","1437665.78","8800","163.37"
"seguros_e_servicos","324.51","2","162.26"
"audio","56371.26","349","161.52"
"construcao_ferramentas_jardim","30781.89","192","160.32"
"informatica_acessorios","1050941.58","6654","157.94"
"moveis_colchao_e_estofado","5998.54","38","157.86"
"esporte_lazer","1147244.63","7673","149.52"
"pet_shop","253176.96","1706","148.40"
"brinquedos","556783.29","3855","144.43"
"Unknown","206524.29","1437","143.72"
"perfumaria","450580.47","3146","143.22"
"artes","28196.21","201","140.28"
"moveis_decoracao","899626.04","6425","140.02"
"artigos_de_festas","5313.15","39","136.23"
"utilidades_domesticas","772035.14","5847","132.04"
"cama_mesa_banho","1240386.13","9399","131.97"
"cine_foto","8189.66","65","125.99"
"eletrodomesticos","94771.30","762","124.37"
"market_place","33694.53","279","120.77"
"papelaria","276152.18","2299","120.12"
"fashion_calcados","28248.41","238","118.69"
"fashion_roupa_masculina","12893.45","111","116.16"
"tablets_impressao_imagem","8754.61","79","110.82"
"livros_interesse_geral","54658.69","505","108.24"
"livros_importados","5409.70","53","102.07"
"dvds_blu_ray","5804.37","57","101.83"
"fashion_esporte","2697.64","27","99.91"
"fashion_bolsas_e_acessorios","182934.76","1858","98.46"
"artes_e_artesanato","2184.14","23","94.96"
"bebidas","28100.75","296","94.93"
"fashion_underwear_e_moda_praia","11457.74","121","94.69"
"artigos_de_natal","12009.19","127","94.56"
"telefonia","393306.02","4183","94.02"
"livros_tecnicos","23379.12","260","89.92"
"fashion_roupa_feminina","3425.39","39","87.83"
"alimentos_bebidas","19608.10","225","87.15"
"fashion_roupa_infanto_juvenil","665.36","8","83.17"
"alimentos","36496.78","449","81.28"
"fraldas_higiene","2101.25","26","80.82"
"eletronicos","203416.77","2543","79.99"
"cds_dvds_musicais","954.99","12","79.58"
"flores","1598.91","29","55.13"
"casa_conforto_2","1170.58","24","48.77"
