"month","revenue","orders","aov","aov_growth"
"2016-09-01 00:00:00+07","136.23","1","136.23",NULL
"2016-10-01 00:00:00+07","51657.53","293","176.31","29.42"
"2016-12-01 00:00:00+07","19.62","1","19.62","-88.87"
"2017-01-01 00:00:00+07","137006.76","787","174.09","787.31"
"2017-02-01 00:00:00+07","283621.94","1718","165.09","-5.17"
"2017-03-01 00:00:00+07","425656.40","2617","162.65","-1.48"
"2017-04-01 00:00:00+07","405988.38","2377","170.80","5.01"
"2017-05-01 00:00:00+07","582926.16","3640","160.14","-6.24"
"2017-06-01 00:00:00+07","499827.47","3205","155.95","-2.62"
"2017-07-01 00:00:00+07","578858.58","3946","146.70","-5.93"
"2017-08-01 00:00:00+07","662071.77","4272","154.98","5.64"
"2017-09-01 00:00:00+07","717195.22","4227","169.67","9.48"
"2017-10-01 00:00:00+07","764785.28","4547","168.20","-0.87"
"2017-11-01 00:00:00+07","1172639.23","7423","157.97","-6.08"
"2017-12-01 00:00:00+07","861914.46","5620","153.37","-2.91"
"2018-01-01 00:00:00+07","1102639.41","7187","153.42","0.03"
"2018-02-01 00:00:00+07","979966.23","6625","147.92","-3.58"
"2018-03-01 00:00:00+07","1152736.74","7168","160.82","8.72"
"2018-04-01 00:00:00+07","1156303.91","6919","167.12","3.92"
"2018-05-01 00:00:00+07","1145748.63","6833","167.68","0.34"
"2018-06-01 00:00:00+07","1020494.29","6145","166.07","-0.96"
"2018-07-01 00:00:00+07","1039880.16","6233","166.83","0.46"
"2018-08-01 00:00:00+07","996896.15","6421","155.26","-6.94"
"2018-09-01 00:00:00+07","166.46","1","166.46","7.21"
