"month","category","revenue"
"2016-09-01 00:00:00+07","beleza_saude","143.46"
"2016-09-01 00:00:00+07","moveis_decoracao","136.23"
"2016-10-01 00:00:00+07","alimentos","96.23"
"2016-10-01 00:00:00+07","audio","183.03"
"2016-10-01 00:00:00+07","automotivo","1752.46"
"2016-10-01 00:00:00+07","bebes","1517.55"
"2016-10-01 00:00:00+07","beleza_saude","5308.94"
"2016-10-01 00:00:00+07","brinquedos","4591.53"
"2016-10-01 00:00:00+07","cama_mesa_banho","606.58"
"2016-10-01 00:00:00+07","climatizacao","1904.91"
"2016-10-01 00:00:00+07","consoles_games","4089.42"
"2016-10-01 00:00:00+07","cool_stuff","1236.88"
"2016-10-01 00:00:00+07","eletronicos","119.79"
"2016-10-01 00:00:00+07","esporte_lazer","2490.76"
"2016-10-01 00:00:00+07","fashion_bolsas_e_acessorios","502.98"
"2016-10-01 00:00:00+07","fashion_calcados","40.95"
"2016-10-01 00:00:00+07","fashion_roupa_feminina","69.63"
"2016-10-01 00:00:00+07","fashion_roupa_masculina","35.86"
"2016-10-01 00:00:00+07","ferramentas_jardim","1465.19"
"2016-10-01 00:00:00+07","fraldas_higiene","150.99"
"2016-10-01 00:00:00+07","industria_comercio_e_negocios","433.56"
"2016-10-01 00:00:00+07","informatica_acessorios","1740.09"
"2016-10-01 00:00:00+07","livros_interesse_geral","144.54"
"2016-10-01 00:00:00+07","livros_tecnicos","299.84"
"2016-10-01 00:00:00+07","market_place","1579.18"
"2016-10-01 00:00:00+07","moveis_decoracao","7052.28"
"2016-10-01 00:00:00+07","moveis_escritorio","1587.55"
"2016-10-01 00:00:00+07","perfumaria","5315.20"
"2016-10-01 00:00:00+07","pet_shop","775.86"
"2016-10-01 00:00:00+07","relogios_presentes","3468.04"
"2016-10-01 00:00:00+07","telefonia","381.79"
"2016-10-01 00:00:00+07","telefonia_fixa","774.45"
"2016-10-01 00:00:00+07","Unknown","95.92"
"2016-10-01 00:00:00+07","utilidades_domesticas","1542.54"
"2016-12-01 00:00:00+07","fashion_bolsas_e_acessorios","19.62"
"2017-01-01 00:00:00+07","agro_industria_e_comercio","107.76"
"2017-01-01 00:00:00+07","alimentos","78.82"
"2017-01-01 00:00:00+07","automotivo","5779.99"
"2017-01-01 00:00:00+07","bebes","7139.93"
"2017-01-01 00:00:00+07","beleza_saude","14039.74"
"2017-01-01 00:00:00+07","brinquedos","5389.57"
"2017-01-01 00:00:00+07","cama_mesa_banho","4817.27"
"2017-01-01 00:00:00+07","casa_conforto_2","95.57"
"2017-01-01 00:00:00+07","climatizacao","738.36"
"2017-01-01 00:00:00+07","consoles_games","6393.53"
"2017-01-01 00:00:00+07","construcao_ferramentas_construcao","335.00"
"2017-01-01 00:00:00+07","cool_stuff","8730.86"
"2017-01-01 00:00:00+07","dvds_blu_ray","47.80"
"2017-01-01 00:00:00+07","eletrodomesticos_2","2268.60"
"2017-01-01 00:00:00+07","eletronicos","772.43"
"2017-01-01 00:00:00+07","eletroportateis","1788.25"
"2017-01-01 00:00:00+07","esporte_lazer","11447.27"
"2017-01-01 00:00:00+07","fashion_bolsas_e_acessorios","2136.61"
"2017-01-01 00:00:00+07","fashion_calcados","49.01"
"2017-01-01 00:00:00+07","fashion_roupa_feminina","102.81"
"2017-01-01 00:00:00+07","fashion_roupa_masculina","159.11"
"2017-01-01 00:00:00+07","fashion_underwear_e_moda_praia","171.15"
"2017-01-01 00:00:00+07","ferramentas_jardim","9225.17"
"2017-01-01 00:00:00+07","informatica_acessorios","4377.60"
"2017-01-01 00:00:00+07","instrumentos_musicais","357.74"
"2017-01-01 00:00:00+07","livros_interesse_geral","271.55"
"2017-01-01 00:00:00+07","malas_acessorios","565.38"
"2017-01-01 00:00:00+07","market_place","548.22"
"2017-01-01 00:00:00+07","moveis_cozinha_area_de_servico_jantar_e_jardim","128.20"
"2017-01-01 00:00:00+07","moveis_decoracao","16461.75"
"2017-01-01 00:00:00+07","moveis_escritorio","1817.74"
"2017-01-01 00:00:00+07","moveis_quarto","148.76"
"2017-01-01 00:00:00+07","moveis_sala","1519.22"
"2017-01-01 00:00:00+07","musica","37.24"
"2017-01-01 00:00:00+07","papelaria","1754.61"
"2017-01-01 00:00:00+07","pcs","2217.99"
"2017-01-01 00:00:00+07","perfumaria","5654.01"
"2017-01-01 00:00:00+07","pet_shop","1182.39"
"2017-01-01 00:00:00+07","relogios_presentes","8310.83"
"2017-01-01 00:00:00+07","seguros_e_servicos","209.06"
"2017-01-01 00:00:00+07","telefonia","3411.51"
"2017-01-01 00:00:00+07","telefonia_fixa","969.56"
"2017-01-01 00:00:00+07","Unknown","1915.73"
"2017-01-01 00:00:00+07","utilidades_domesticas","3269.76"
"2017-02-01 00:00:00+07","agro_industria_e_comercio","331.10"
"2017-02-01 00:00:00+07","alimentos","930.20"
"2017-02-01 00:00:00+07","audio","247.85"
"2017-02-01 00:00:00+07","automotivo","14655.14"
"2017-02-01 00:00:00+07","bebes","3714.29"
"2017-02-01 00:00:00+07","beleza_saude","26130.08"
"2017-02-01 00:00:00+07","brinquedos","10533.61"
"2017-02-01 00:00:00+07","cama_mesa_banho","19186.07"
"2017-02-01 00:00:00+07","casa_conforto","471.27"
"2017-02-01 00:00:00+07","casa_construcao","764.57"
"2017-02-01 00:00:00+07","cine_foto","95.24"
"2017-02-01 00:00:00+07","climatizacao","3439.71"
"2017-02-01 00:00:00+07","consoles_games","4637.96"
"2017-02-01 00:00:00+07","construcao_ferramentas_construcao","393.57"
"2017-02-01 00:00:00+07","construcao_ferramentas_jardim","624.68"
"2017-02-01 00:00:00+07","construcao_ferramentas_seguranca","396.86"
"2017-02-01 00:00:00+07","cool_stuff","14857.05"
"2017-02-01 00:00:00+07","dvds_blu_ray","35.70"
"2017-02-01 00:00:00+07","eletrodomesticos","855.40"
"2017-02-01 00:00:00+07","eletrodomesticos_2","30.11"
"2017-02-01 00:00:00+07","eletronicos","1555.50"
"2017-02-01 00:00:00+07","eletroportateis","8022.25"
"2017-02-01 00:00:00+07","esporte_lazer","19212.16"
"2017-02-01 00:00:00+07","fashion_bolsas_e_acessorios","2950.25"
"2017-02-01 00:00:00+07","fashion_calcados","157.37"
"2017-02-01 00:00:00+07","fashion_roupa_feminina","519.77"
"2017-02-01 00:00:00+07","fashion_roupa_masculina","763.02"
"2017-02-01 00:00:00+07","fashion_underwear_e_moda_praia","507.83"
"2017-02-01 00:00:00+07","ferramentas_jardim","14320.23"
"2017-02-01 00:00:00+07","industria_comercio_e_negocios","134.94"
"2017-02-01 00:00:00+07","informatica_acessorios","13744.35"
"2017-02-01 00:00:00+07","instrumentos_musicais","2465.25"
"2017-02-01 00:00:00+07","livros_importados","114.90"
"2017-02-01 00:00:00+07","livros_interesse_geral","950.02"
"2017-02-01 00:00:00+07","livros_tecnicos","182.40"
"2017-02-01 00:00:00+07","malas_acessorios","2136.16"
"2017-02-01 00:00:00+07","market_place","1982.50"
"2017-02-01 00:00:00+07","moveis_cozinha_area_de_servico_jantar_e_jardim","178.33"
"2017-02-01 00:00:00+07","moveis_decoracao","26216.31"
"2017-02-01 00:00:00+07","moveis_escritorio","13900.00"
"2017-02-01 00:00:00+07","moveis_quarto","501.88"
"2017-02-01 00:00:00+07","moveis_sala","4513.97"
"2017-02-01 00:00:00+07","papelaria","2646.03"
"2017-02-01 00:00:00+07","pcs","3602.47"
"2017-02-01 00:00:00+07","perfumaria","8909.60"
"2017-02-01 00:00:00+07","pet_shop","4510.88"
"2017-02-01 00:00:00+07","relogios_presentes","12370.67"
"2017-02-01 00:00:00+07","tablets_impressao_imagem","940.52"
"2017-02-01 00:00:00+07","telefonia","8467.09"
"2017-02-01 00:00:00+07","telefonia_fixa","1124.89"
"2017-02-01 00:00:00+07","Unknown","10090.89"
"2017-02-01 00:00:00+07","utilidades_domesticas","13538.80"
"2017-03-01 00:00:00+07","agro_industria_e_comercio","110.69"
"2017-03-01 00:00:00+07","alimentos","3158.99"
"2017-03-01 00:00:00+07","alimentos_bebidas","132.93"
"2017-03-01 00:00:00+07","artes","320.84"
"2017-03-01 00:00:00+07","audio","1367.40"
"2017-03-01 00:00:00+07","automotivo","15868.43"
"2017-03-01 00:00:00+07","bebes","4486.33"
"2017-03-01 00:00:00+07","bebidas","568.43"
"2017-03-01 00:00:00+07","beleza_saude","29770.32"
"2017-03-01 00:00:00+07","brinquedos","14354.03"
"2017-03-01 00:00:00+07","cama_mesa_banho","30650.01"
"2017-03-01 00:00:00+07","casa_conforto","2380.79"
"2017-03-01 00:00:00+07","casa_conforto_2","390.89"
"2017-03-01 00:00:00+07","casa_construcao","718.69"
"2017-03-01 00:00:00+07","climatizacao","4390.56"
"2017-03-01 00:00:00+07","consoles_games","11496.60"
"2017-03-01 00:00:00+07","construcao_ferramentas_construcao","768.73"
"2017-03-01 00:00:00+07","construcao_ferramentas_seguranca","425.76"
"2017-03-01 00:00:00+07","cool_stuff","23270.13"
"2017-03-01 00:00:00+07","dvds_blu_ray","525.20"
"2017-03-01 00:00:00+07","eletrodomesticos","466.25"
"2017-03-01 00:00:00+07","eletrodomesticos_2","568.43"
"2017-03-01 00:00:00+07","eletronicos","4655.16"
"2017-03-01 00:00:00+07","eletroportateis","12028.55"
"2017-03-01 00:00:00+07","esporte_lazer","31120.69"
"2017-03-01 00:00:00+07","fashion_bolsas_e_acessorios","5893.33"
"2017-03-01 00:00:00+07","fashion_calcados","1746.18"
"2017-03-01 00:00:00+07","fashion_esporte","54.01"
"2017-03-01 00:00:00+07","fashion_roupa_feminina","30.86"
"2017-03-01 00:00:00+07","fashion_roupa_masculina","721.36"
"2017-03-01 00:00:00+07","fashion_underwear_e_moda_praia","460.62"
"2017-03-01 00:00:00+07","ferramentas_jardim","26858.31"
"2017-03-01 00:00:00+07","industria_comercio_e_negocios","282.03"
"2017-03-01 00:00:00+07","informatica_acessorios","31380.88"
"2017-03-01 00:00:00+07","instrumentos_musicais","1887.51"
"2017-03-01 00:00:00+07","livros_interesse_geral","2951.30"
"2017-03-01 00:00:00+07","livros_tecnicos","103.74"
"2017-03-01 00:00:00+07","malas_acessorios","7378.39"
"2017-03-01 00:00:00+07","market_place","2075.96"
"2017-03-01 00:00:00+07","moveis_cozinha_area_de_servico_jantar_e_jardim","169.05"
"2017-03-01 00:00:00+07","moveis_decoracao","29418.34"
"2017-03-01 00:00:00+07","moveis_escritorio","14463.49"
"2017-03-01 00:00:00+07","moveis_sala","4035.67"
"2017-03-01 00:00:00+07","musica","42.51"
"2017-03-01 00:00:00+07","papelaria","6994.89"
"2017-03-01 00:00:00+07","perfumaria","21595.40"
"2017-03-01 00:00:00+07","pet_shop","9151.69"
"2017-03-01 00:00:00+07","relogios_presentes","26248.32"
"2017-03-01 00:00:00+07","sinalizacao_e_seguranca","91.23"
"2017-03-01 00:00:00+07","tablets_impressao_imagem","587.91"
