"month","total_customers","new_customers","repeat_customers","repeat_rate"
"2016-09-01 00:00:00+07","2","2","0","0.0000"
"2016-10-01 00:00:00+07","290","290","3","0.0103"
"2016-12-01 00:00:00+07","1","1","0","0.0000"
"2017-01-01 00:00:00+07","753","752","26","0.0345"
"2017-02-01 00:00:00+07","1693","1690","25","0.0148"
"2017-03-01 00:00:00+07","2577","2571","45","0.0175"
"2017-04-01 00:00:00+07","2345","2325","47","0.0200"
"2017-05-01 00:00:00+07","3569","3541","97","0.0272"
"2017-06-01 00:00:00+07","3142","3102","98","0.0312"
"2017-07-01 00:00:00+07","3872","3822","120","0.0310"
"2017-08-01 00:00:00+07","4191","4130","133","0.0317"
"2017-09-01 00:00:00+07","4154","4075","147","0.0354"
"2017-10-01 00:00:00+07","4481","4392","149","0.0333"
"2017-11-01 00:00:00+07","7315","7190","224","0.0306"
"2017-12-01 00:00:00+07","5553","5439","173","0.0312"
"2018-01-01 00:00:00+07","7088","6951","232","0.0327"
"2018-02-01 00:00:00+07","6469","6357","253","0.0391"
"2018-03-01 00:00:00+07","7077","6931","232","0.0328"
"2018-04-01 00:00:00+07","6863","6698","216","0.0315"
"2018-05-01 00:00:00+07","6775","6586","239","0.0353"
"2018-06-01 00:00:00+07","6106","5920","219","0.0359"
"2018-07-01 00:00:00+07","6172","6016","214","0.0347"
"2018-08-01 00:00:00+07","6380","6209","205","0.0321"
"2018-09-01 00:00:00+07","1","0","1","1.0000"
