"category","total_customers","repeat_customers","repeat_rate","total_orders","total_revenue","revenue_percent","avg_orders_per_customer"
"artes_e_artesanato","21","2","0.0952","23","2184.14","0.0001","1.10"
"eletrodomesticos","701","52","0.0742","762","94771.30","0.0060","1.09"
"casa_conforto_2","23","1","0.0435","24","1170.58","0.0001","1.04"
"fraldas_higiene","25","1","0.0400","26","2101.25","0.0001","1.04"
"moveis_quarto","91","3","0.0330","95","24661.01","0.0016","1.04"
"fashion_bolsas_e_acessorios","1792","55","0.0307","1858","182934.76","0.0116","1.04"
"cama_mesa_banho","9127","252","0.0276","9399","1240386.13","0.0788","1.03"
"esporte_lazer","7471","182","0.0244","7673","1147244.63","0.0729","1.03"
"moveis_decoracao","6294","128","0.0203","6425","899626.04","0.0572","1.02"
"informatica_acessorios","6522","126","0.0193","6654","1050941.58","0.0668","1.02"
"livros_importados","52","1","0.0192","53","5409.70","0.0003","1.02"
"fashion_roupa_masculina","109","2","0.0183","111","12893.45","0.0008","1.02"
"dvds_blu_ray","56","1","0.0179","57","5804.37","0.0004","1.02"
"bebidas","291","5","0.0172","296","28100.75","0.0018","1.02"
"beleza_saude","8644","149","0.0172","8800","1437665.78","0.0914","1.02"
"moveis_sala","413","7","0.0169","420","86557.30","0.0055","1.02"
"construcao_ferramentas_jardim","189","3","0.0159","192","30781.89","0.0020","1.02"
"eletrodomesticos_2","226","3","0.0133","231","121055.52","0.0077","1.02"
"livros_interesse_geral","499","6","0.0120","505","54658.69","0.0035","1.01"
"perfumaria","3109","36","0.0116","3146","450580.47","0.0286","1.01"
"relogios_presentes","5528","63","0.0114","5604","1298292.47","0.0825","1.01"
"pet_shop","1685","19","0.0113","1706","253176.96","0.0161","1.01"
"pcs","179","2","0.0112","181","232799.43","0.0148","1.01"
"automotivo","3829","42","0.0110","3872","678606.64","0.0431","1.01"
"utilidades_domesticas","5784","61","0.0105","5847","772035.14","0.0491","1.01"
"telefonia","4137","42","0.0102","4183","393306.02","0.0250","1.01"
"bebes","2841","26","0.0092","2868","478320.00","0.0304","1.01"
"alimentos_bebidas","223","2","0.0090","225","19608.10","0.0012","1.01"
"alimentos","444","4","0.0090","449","36496.78","0.0023","1.01"
"brinquedos","3814","33","0.0087","3855","556783.29","0.0354","1.01"
"industria_comercio_e_negocios","233","2","0.0086","235","47554.29","0.0030","1.01"
"fashion_calcados","236","2","0.0085","238","28248.41","0.0018","1.01"
"ferramentas_jardim","3476","29","0.0083","3505","579525.20","0.0368","1.01"
"climatizacao","249","2","0.0080","251","61436.57","0.0039","1.01"
"sinalizacao_e_seguranca","139","1","0.0072","140","28017.05","0.0018","1.01"
"moveis_escritorio","1263","9","0.0071","1272","342073.02","0.0217","1.01"
"papelaria","2284","15","0.0066","2299","276152.18","0.0175","1.01"
"instrumentos_musicais","616","4","0.0065","620","206021.32","0.0131","1.01"
"construcao_ferramentas_seguranca","164","1","0.0061","165","43420.59","0.0028","1.01"
"malas_acessorios","1024","6","0.0059","1030","170504.09","0.0108","1.01"
"agro_industria_e_comercio","181","1","0.0055","182","78374.07","0.0050","1.01"
"construcao_ferramentas_construcao","742","4","0.0054","746","165179.69","0.0105","1.01"
"eletroportateis","619","3","0.0048","622","203731.50","0.0129","1.00"
"cool_stuff","3600","16","0.0044","3616","704086.24","0.0447","1.00"
NULL,"1431","6","0.0042","1437","206524.29","0.0131","1.00"
"moveis_cozinha_area_de_servico_jantar_e_jardim","245","1","0.0041","246","57905.76","0.0037","1.00"
"livros_tecnicos","259","1","0.0039","260","23379.12","0.0015","1.00"
"eletronicos","2533","10","0.0039","2543","203416.77","0.0129","1.00"
"consoles_games","1050","4","0.0038","1054","174639.60","0.0111","1.00"
"market_place","278","1","0.0036","279","33694.53","0.0021","1.00"
"audio","348","1","0.0029","349","56371.26","0.0036","1.00"
"casa_conforto","396","1","0.0025","397","67073.27","0.0043","1.00"
"casa_construcao","488","1","0.0020","489","96833.62","0.0062","1.00"
"construcao_ferramentas_ferramentas","97","0","0.0000","97","17934.17","0.0011","1.00"
"musica","38","0","0.0000","38","6724.86","0.0004","1.00"
"pc_gamer","7","0","0.0000","7","1430.10","0.0001","1.00"
"cine_foto","65","0","0.0000","65","8189.66","0.0005","1.00"
"cds_dvds_musicais","12","0","0.0000","12","954.99","0.0001","1.00"
"portateis_casa_forno_e_cafe","75","0","0.0000","75","50193.57","0.0032","1.00"
"portateis_cozinha_e_preparadores_de_alimentos","13","0","0.0000","13","4228.05","0.0003","1.00"
"seguros_e_servicos","2","0","0.0000","2","324.51","0.0000","1.00"
"tablets_impressao_imagem","79","0","0.0000","79","8754.61","0.0006","1.00"
"artigos_de_natal","127","0","0.0000","127","12009.19","0.0008","1.00"
"telefonia_fixa","214","0","0.0000","214","62414.05","0.0040","1.00"
"artigos_de_festas","39","0","0.0000","39","5313.15","0.0003","1.00"
"flores","29","0","0.0000","29","1598.91","0.0001","1.00"
"artes","201","0","0.0000","201","28196.21","0.0018","1.00"
"la_cuisine","13","0","0.0000","13","2388.54","0.0002","1.00"
"fashion_underwear_e_moda_praia","121","0","0.0000","121","11457.74","0.0007","1.00"
"fashion_roupa_infanto_juvenil","8","0","0.0000","8","665.36","0.0000","1.00"
"fashion_roupa_feminina","39","0","0.0000","39","3425.39","0.0002","1.00"
"moveis_colchao_e_estofado","38","0","0.0000","38","5998.54","0.0004","1.00"
"fashion_esporte","27","0","0.0000","27","2697.64","0.0002","1.00"
"construcao_ferramentas_iluminacao","243","0","0.0000","243","47511.18","0.0030","1.00"
