"category","revenue_item","revenue_percent"
"beleza_saude","1437665.78","9.14"
"relogios_presentes","1298292.47","8.25"
"cama_mesa_banho","1240386.13","7.88"
"esporte_lazer","1147244.63","7.29"
"informatica_acessorios","1050941.58","6.68"
"moveis_decoracao","899626.04","5.72"
"utilidades_domesticas","772035.14","4.91"
"cool_stuff","704086.24","4.47"
"automotivo","678606.64","4.31"
"ferramentas_jardim","579525.20","3.68"
"brinquedos","556783.29","3.54"
"bebes","478320.00","3.04"
"perfumaria","450580.47","2.86"
"telefonia","393306.02","2.50"
"moveis_escritorio","342073.02","2.17"
"papelaria","276152.18","1.75"
"pet_shop","253176.96","1.61"
"pcs","232799.43","1.48"
"Unknown","206524.29","1.31"
"instrumentos_musicais","206021.32","1.31"
"eletroportateis","203731.50","1.29"
"eletronicos","203416.77","1.29"
"fashion_bolsas_e_acessorios","182934.76","1.16"
"consoles_games","174639.60","1.11"
"malas_acessorios","170504.09","1.08"
"construcao_ferramentas_construcao","165179.69","1.05"
"eletrodomesticos_2","121055.52","0.77"
"casa_construcao","96833.62","0.62"
"eletrodomesticos","94771.30","0.60"
"moveis_sala","86557.30","0.55"
"agro_industria_e_comercio","78374.07","0.50"
"casa_conforto","67073.27","0.43"
"telefonia_fixa","62414.05","0.40"
"climatizacao","61436.57","0.39"
"moveis_cozinha_area_de_servico_jantar_e_jardim","57905.76","0.37"
"audio","56371.26","0.36"
"livros_interesse_geral","54658.69","0.35"
"portateis_casa_forno_e_cafe","50193.57","0.32"
"industria_comercio_e_negocios","47554.29","0.30"
"construcao_ferramentas_iluminacao","47511.18","0.30"
"construcao_ferramentas_seguranca","43420.59","0.28"
"alimentos","36496.78","0.23"
"market_place","33694.53","0.21"
"construcao_ferramentas_jardim","30781.89","0.20"
"fashion_calcados","28248.41","0.18"
"artes","28196.21","0.18"
"bebidas","28100.75","0.18"
"sinalizacao_e_seguranca","28017.05","0.18"
"moveis_quarto","24661.01","0.16"
"livros_tecnicos","23379.12","0.15"
"alimentos_bebidas","19608.10","0.12"
"construcao_ferramentas_ferramentas","17934.17","0.11"
"fashion_roupa_masculina","12893.45","0.08"
"artigos_de_natal","12009.19","0.08"
"fashion_underwear_e_moda_praia","11457.74","0.07"
"tablets_impressao_imagem","8754.61","0.06"
"cine_foto","8189.66","0.05"
"musica","6724.86","0.04"
"moveis_colchao_e_estofado","5998.54","0.04"
"dvds_blu_ray","5804.37","0.04"
"livros_importados","5409.70","0.03"
"artigos_de_festas","5313.15","0.03"
"portateis_cozinha_e_preparadores_de_alimentos","4228.05","0.03"
"fashion_roupa_feminina","3425.39","0.02"
"fashion_esporte","2697.64","0.02"
"la_cuisine","2388.54","0.02"
"artes_e_artesanato","2184.14","0.01"
"fraldas_higiene","2101.25","0.01"
"flores","1598.91","0.01"
"pc_gamer","1430.10","0.01"
"casa_conforto_2","1170.58","0.01"
"cds_dvds_musicais","954.99","0.01"
"fashion_roupa_infanto_juvenil","665.36","0.00"
"seguros_e_servicos","324.51","0.00"
