"seller_state","total_orders","total_revenue","avg_order_value","revenue_percent"
"SP","69854","10163091.37","145.49","64.59"
"PR","7647","1453098.55","190.02","9.23"
"MG","7880","1213270.24","153.97","7.71"
"RJ","4330","930917.92","214.99","5.92"
"SC","3649","729704.76","199.97","4.64"
"RS","1983","434875.66","219.30","2.76"
"BA","567","304990.16","537.90","1.94"
"DF","821","115515.58","140.70","0.73"
"PE","405","103822.26","256.35","0.66"
"GO","460","78752.68","171.20","0.50"
"ES","317","59776.67","188.57","0.38"
"MA","392","48550.24","123.85","0.31"
"CE","90","24510.24","272.34","0.16"
"MT","137","21702.45","158.41","0.14"
"PB","36","18584.15","516.23","0.12"
"RN","51","11296.71","221.50","0.07"
"MS","49","9750.65","198.99","0.06"
"RO","14","5474.98","391.07","0.03"
"PI","12","2965.32","247.11","0.02"
"SE","9","1924.69","213.85","0.01"
"PA","8","1393.11","174.14","0.01"
"AM","3","1258.80","419.60","0.01"
"AC","1","299.84","299.84","0.00"
