"category","items_sold","total_revenue","total_freight","freight_pct","freight_burden_rank"
"flowers","33","1110.04","488.87","44.04","1"
"furniture_mattress_and_upholstery","38","4368.08","1630.46","37.33","2"
"christmas_supplies","153","8800.82","3229.30","36.69","3"
"diapers_and_hygiene","39","1567.59","573.68","36.60","4"
"signaling_and_security","199","21509.23","6507.82","30.26","5"
"food_drink","278","15179.48","4507.99","29.70","6"
"electronics","2767","160246.74","46578.32","29.07","7"
"furniture_living_room","503","68916.56","17968.17","26.07","8"
"kitchen_dining_laundry_garden_furniture","281","46328.37","11999.43","25.90","9"
"drinks","379","22428.70","5741.25","25.60","10"
"office_furniture","1691","273960.70","68571.95","25.03","11"
"food","510","29393.41","7271.03","24.74","12"
"furniture_decor","8334","729762.49","172749.30","23.67","13"
"furniture_bedroom","109","20028.78","4632.23","23.13","14"
"housewares","6964","632248.66","146149.11","23.12","15"
