"month","revenue","quatily_order","mom"
"2016-09-01 00:00:00+07","136.23","1",NULL
"2016-10-01 00:00:00+07","51657.53","293","37819.35"
"2016-12-01 00:00:00+07","19.62","1","-99.96"
"2017-01-01 00:00:00+07","137006.76","787","698201.53"
"2017-02-01 00:00:00+07","283621.94","1718","107.01"
"2017-03-01 00:00:00+07","425656.40","2617","50.08"
"2017-04-01 00:00:00+07","405988.38","2377","-4.62"
"2017-05-01 00:00:00+07","582926.16","3640","43.58"
"2017-06-01 00:00:00+07","499827.47","3205","-14.26"
"2017-07-01 00:00:00+07","578858.58","3946","15.81"
"2017-08-01 00:00:00+07","662071.77","4272","14.38"
"2017-09-01 00:00:00+07","717195.22","4227","8.33"
"2017-10-01 00:00:00+07","764785.28","4547","6.64"
"2017-11-01 00:00:00+07","1172639.23","7423","53.33"
"2017-12-01 00:00:00+07","861914.46","5620","-26.50"
"2018-01-01 00:00:00+07","1102639.41","7187","27.93"
"2018-02-01 00:00:00+07","979966.23","6625","-11.13"
"2018-03-01 00:00:00+07","1152736.74","7168","17.63"
"2018-04-01 00:00:00+07","1156303.91","6919","0.31"
"2018-05-01 00:00:00+07","1145748.63","6833","-0.91"
"2018-06-01 00:00:00+07","1020494.29","6145","-10.93"
"2018-07-01 00:00:00+07","1039880.16","6233","1.90"
"2018-08-01 00:00:00+07","996896.15","6421","-4.13"
"2018-09-01 00:00:00+07","166.46","1","-99.98"
